,color_dist_mean,color_dist_std
Breast_TCGA-A7-A13E-01Z-00-DX1,0.134,0.1289
Breast_TCGA-A7-A13F-01Z-00-DX1,0.1389,0.1369
Breast_TCGA-AR-A1AK-01Z-00-DX1,0.1365,0.1304
Kidney_TCGA-B0-5711-01Z-00-DX1,0.1513,0.148
Kidney_TCGA-HE-7128-01Z-00-DX1,0.1617,0.1639
Kidney_TCGA-HE-7129-01Z-00-DX1,0.1967,0.1686
Liver_TCGA-18-5592-01Z-00-DX1,0.0874,0.0851
Liver_TCGA-38-6178-01Z-00-DX1,0.127,0.1181
Liver_TCGA-49-4488-01Z-00-DX1,0.1015,0.0882
Prostate_TCGA-G9-6336-01Z-00-DX1,0.1753,0.1595
Prostate_TCGA-G9-6348-01Z-00-DX1,0.1663,0.1533
Prostate_TCGA-G9-6356-01Z-00-DX1,0.1563,0.147
